Age,Gender,Education_Level,Job_ Title,Years_ of _Experience,EstimatedSalary
32.0,Male,Bachelor,Software Engineer,5.0,90000.0
28.0,Female,Master,Data Analyst,3.0,
,Male,PhD,Senior Manager,,150000.0
36.0,Female,Bachelor,Sales Associate,7.0,60000.0
52.0,Male,Master,Director,20.0,200000.0
29.0,Male,Bachelor,Marketing Analyst,2.0,55000.0
42.0,Female,Master,Product Manager,12.0,120000.0
31.0,Male,Bachelor,Sales Manager,4.0,80000.0
26.0,Female,Bachelor,Marketing Coordinator,1.0,45000.0
38.0,Male,PhD,Senior Scientist,10.0,110000.0
29.0,Male,Master,Software Developer,3.0,75000.0
48.0,Female,Bachelor,HR Manager,18.0,140000.0
35.0,Male,Bachelor,Financial Analyst,,65000.0
40.0,Female,Master,Project Manager,14.0,130000.0
27.0,Male,Bachelor,Customer Service Rep,2.0,40000.0
44.0,Male,Bachelor,Operations Manager,16.0,125000.0
33.0,Female,Master,Marketing Manager,7.0,90000.0
39.0,Male,PhD,Senior Engineer,12.0,115000.0
25.0,Female,Bachelor,Data Entry Clerk,0.0,35000.0
51.0,Male,Bachelor,Sales Director,22.0,180000.0
34.0,Female,Master,Business Analyst,5.0,80000.0
47.0,Male,Master,VP of Operations,19.0,190000.0
30.0,Male,Bachelor,IT Support,2.0,
36.0,Female,Bachelor,Recruiter,9.0,60000.0
41.0,Male,Master,Financial Manager,13.0,140000.0
28.0,Female,Bachelor,Social Media Specialist,3.0,45000.0
37.0,Female,Master,Software Manager,11.0,110000.0
24.0,Male,Bachelor,Junior Developer,1.0,40000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0
33.0,Male,Master,Product Designer,6.0,90000.0
50.0,Male,Bachelor,CEO,25.0,250000.0
31.0,Female,Bachelor,Accountant,4.0,55000.0
29.0,Male,Master,Data Scientist,3.0,75000.0
39.0,Female,Bachelor,Marketing Specialist,10.0,65000.0
46.0,Male,PhD,Senior Manager,20.0,170000.0
27.0,Male,Bachelor,Technical Writer,2.0,45000.0
35.0,Female,Bachelor,HR Generalist,7.0,60000.0
42.0,Male,Master,Project Engineer,14.0,115000.0
26.0,Female,Bachelor,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor,Sales Executive,21.0,160000.0
34.0,Female,Master,UX Designer,5.0,80000.0
48.0,Male,Master,Operations Director,18.0,190000.0
30.0,Male,Bachelor,Network Engineer,3.0,60000.0
36.0,Female,Bachelor,Administrative Assistant,8.0,45000.0
41.0,Male,Master,Strategy Consultant,13.0,130000.0
28.0,Female,Bachelor,Copywriter,2.0,40000.0
32.0,Male,Bachelor,Account Manager,5.0,75000.0
45.0,Female,Master,Director of Marketing,16.0,180000.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0
25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0
51.0,Female,Bachelor,Customer Service Manager,22.0,130000.0
33.0,Male,Master,Business Intelligence Analyst,7.0,85000.0
40.0,Female,Bachelor,Event Coordinator,12.0,60000.0
47.0,Male,Master,VP of Finance,19.0,200000.0
29.0,Female,Bachelor,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor,Sales Manager,9.0,95000.0
27.0,Female,Master,UX Researcher,2.0,65000.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0
30.0,Female,Bachelor,Social Media Manager,4.0,55000.0
35.0,Male,Master,Product Manager,7.0,105000.0
51.0,Female,Master,Director of Operations,23.0,170000.0
29.0,Male,Bachelor,Marketing Analyst,3.0,50000.0
40.0,Female,Bachelor,HR Manager,12.0,80000.0
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
26.0,Male,Bachelor,Junior Accountant,1.0,35000.0
38.0,Female,Master,Digital Marketing Manager,10.0,90000.0
46.0,Male,Bachelor,IT Manager,19.0,120000.0
31.0,Female,Bachelor,Customer Service Representative,5.0,45000.0
34.0,Male,Master,Business Development Manager,8.0,90000.0
49.0,Female,Master,Senior Financial Analyst,18.0,150000.0
33.0,Male,Bachelor,Web Developer,6.0,65000.0
39.0,Female,Bachelor,Recruiter,11.0,70000.0
45.0,Male,PhD,Research Director,16.0,190000.0
28.0,Male,Bachelor,Technical Support Specialist,2.0,40000.0
42.0,Female,Master,Creative Director,14.0,120000.0
37.0,Male,Bachelor,Project Manager,10.0,95000.0
50.0,Female,Bachelor,Operations Manager,22.0,160000.0
32.0,Male,Master,Senior Software Engineer,6.0,100000.0
