Age,Gender,Education_Level,Job_ Title,Years_ of _Experience,EstimatedSalary
32,Male,Bachelor,Software Engineer,5,90000
28,Female,Master,Data Analyst,3,
,Male,PhD,Senior Manager,,150000
36,Female,Bachelor,Sales Associate,7,60000
52,Male,Master,Director,20,200000
29,Male,Bachelor,Marketing Analyst,2,55000
42,Female,Master,Product Manager,12,120000
31,Male,Bachelor,Sales Manager,4,80000
26,Female,Bachelor,Marketing Coordinator,1,45000
38,Male,PhD,Senior Scientist,10,110000
29,Male,Master,Software Developer,3,75000
48,Female,Bachelor,HR Manager,18,140000
35,Male,Bachelor,Financial Analyst,,65000
40,Female,Master,Project Manager,14,130000
27,Male,Bachelor,Customer Service Rep,2,40000
44,Male,Bachelor,Operations Manager,16,125000
33,Female,Master,Marketing Manager,7,90000
39,Male,PhD,Senior Engineer,12,115000
25,Female,Bachelor,Data Entry Clerk,0,35000
51,Male,Bachelor,Sales Director,22,180000
34,Female,Master,Business Analyst,5,80000
47,Male,Master,VP of Operations,19,190000
30,Male,Bachelor,IT Support,2,
36,Female,Bachelor,Recruiter,9,60000
41,Male,Master,Financial Manager,13,140000
28,Female,Bachelor,Social Media Specialist,3,45000
37,Female,Master,Software Manager,11,110000
24,Male,Bachelor,Junior Developer,1,40000
43,Female,PhD,Senior Consultant,15,140000
33,Male,Master,Product Designer,6,90000
50,Male,Bachelor,CEO,25,250000
31,Female,Bachelor,Accountant,4,55000
29,Male,Master,Data Scientist,3,75000
39,Female,Bachelor,Marketing Specialist,10,65000
46,Male,PhD,Senior Manager,20,170000
27,Male,Bachelor,Technical Writer,2,45000
35,Female,Bachelor,HR Generalist,7,60000
42,Male,Master,Project Engineer,14,115000
26,Female,Bachelor,Customer Success Rep,1,40000
49,Male,Bachelor,Sales Executive,21,160000
34,Female,Master,UX Designer,5,80000
48,Male,Master,Operations Director,18,190000
30,Male,Bachelor,Network Engineer,3,60000
36,Female,Bachelor,Administrative Assistant,8,45000
41,Male,Master,Strategy Consultant,13,130000
28,Female,Bachelor,Copywriter,2,40000
32,Male,Bachelor,Account Manager,5,75000
45,Female,Master,Director of Marketing,16,180000
38,Male,PhD,Senior Scientist,11,120000
25,Male,Bachelor,Help Desk Analyst,0,35000
51,Female,Bachelor,Customer Service Manager,22,130000
33,Male,Master,Business Intelligence Analyst,7,85000
40,Female,Bachelor,Event Coordinator,12,60000
47,Male,Master,VP of Finance,19,200000
29,Female,Bachelor,Graphic Designer,3,50000
36,Male,Bachelor,Sales Manager,9,95000
27,Female,Master,UX Researcher,2,65000
43,Male,PhD,Senior Engineer,17,140000
30,Female,Bachelor,Social Media Manager,4,55000
35,Male,Master,Product Manager,7,105000
51,Female,Master,Director of Operations,23,170000
29,Male,Bachelor,Marketing Analyst,3,50000
40,Female,Bachelor,HR Manager,12,80000
47,Male,PhD,Senior Data Scientist,21,180000
26,Male,Bachelor,Junior Accountant,1,35000
38,Female,Master,Digital Marketing Manager,10,90000
46,Male,Bachelor,IT Manager,19,120000
31,Female,Bachelor,Customer Service Representative,5,45000
34,Male,Master,Business Development Manager,8,90000
49,Female,Master,Senior Financial Analyst,18,150000
33,Male,Bachelor,Web Developer,6,65000
39,Female,Bachelor,Recruiter,11,70000
45,Male,PhD,Research Director,16,190000
28,Male,Bachelor,Technical Support Specialist,2,40000
42,Female,Master,Creative Director,14,120000
37,Male,Bachelor,Project Manager,10,95000
50,Female,Bachelor,Operations Manager,22,160000
32,Male,Master,Senior Software Engineer,6,100000
48,Female,Master,Human Resources Director,20,180000
30,Female,Bachelor,Content Marketing Manager,3,55000
36,Male,Bachelor,Technical Recruiter,8,70000
41,Female,Master,Data Analyst,13,80000
25,Male,Bachelor,Sales Representative,0,30000
52,Male,PhD,Chief Technology Officer,24,250000
29,Female,Bachelor,Junior Designer,2,40000
34,Female,Master,Financial Advisor,10,95000
27,Male,Bachelor,Junior Account Manager,2,45000
40,Female,Bachelor,HR Generalist,15,80000
46,Male,Master,Senior Project Manager,21,135000
31,Female,Bachelor,Marketing Coordinator,6,55000
36,Male,PhD,Principal Scientist,11,120000
29,Female,Bachelor,Sales Associate,3,40000
43,Male,Bachelor,Supply Chain Manager,18,105000
52,Female,Master,Senior Marketing Manager,25,170000
33,Male,Bachelor,Business Analyst,7,75000
39,Female,Bachelor,Training Specialist,12,65000
47,Male,PhD,Research Scientist,22,160000
26,Male,Bachelor,Junior Software Developer,1,35000
